day,avg_requests_per_session
01/02/24,2.031849439015563
02/02/24,1.9816363636363636
03/02/24,2.0117302052785924
04/02/24,1.9949302915082383
05/02/24,1.9774477447744774
06/02/24,2.0289592760180994
07/02/24,2.0126628075253254
08/02/24,1.981094706517825
09/02/24,1.9951333813987022
10/02/24,2.027375201288245
11/02/24,2.0047982939399325
12/02/24,2.0285610990600143
13/02/24,2.039637397795947
14/02/24,2.014303372770616
15/02/24,1.9885422175215934
16/02/24,1.9985719385933596
17/02/24,1.9878349788434415
18/02/24,2.776185226019846
19/02/24,2.8010606472667936
20/02/24,2.7569463177771785
21/02/24,2.789353714132475
22/02/24,2.785549054293101
23/02/24,2.768291027555314
24/02/24,2.8302658486707566
25/02/24,2.802353896103896
26/02/24,2.788824087888241
27/02/24,2.7934443992956792
28/02/24,2.8189527527258043
29/02/24,2.782291807261439
