week,seller_id,product_id,qty,unit_storage_cost
2023-01-02,0,1_1,52,7.0
2023-01-02,1,1_1,54,8.0
2023-01-02,2,1_1,52,13.0
2023-01-02,3,1_1,51,11.0
2023-01-02,4,1_1,54,11.0
2023-01-02,0,1_2,61,8.0
2023-01-02,1,1_2,59,14.0
2023-01-02,2,1_2,60,7.0
2023-01-02,3,1_2,62,9.0
2023-01-02,4,1_2,56,8.0
2023-01-02,0,1_3,57,13.0
2023-01-02,1,1_3,56,12.0
2023-01-02,2,1_3,62,12.0
2023-01-02,3,1_3,56,9.0
2023-01-02,4,1_3,60,9.0
2023-01-02,0,1_4,64,14.0
2023-01-02,1,1_4,62,10.0
2023-01-02,2,1_4,59,9.0
2023-01-02,3,1_4,59,10.0
2023-01-02,4,1_4,59,8.0
2023-01-02,0,1_5,53,13.0
2023-01-02,1,1_5,54,11.0
2023-01-02,2,1_5,56,8.0
2023-01-02,3,1_5,56,7.0
2023-01-02,4,1_5,54,10.0
2023-01-02,0,1_6,56,12.0
2023-01-02,1,1_6,59,11.0
2023-01-02,2,1_6,58,14.0
2023-01-02,3,1_6,60,8.0
2023-01-02,4,1_6,59,9.0
2023-01-02,0,1_7,58,8.0
2023-01-02,1,1_7,62,11.0
2023-01-02,2,1_7,58,10.0
2023-01-02,3,1_7,58,13.0
2023-01-02,4,1_7,59,14.0
2023-01-02,0,1_8,62,13.0
2023-01-02,1,1_8,58,10.0
2023-01-02,2,1_8,63,8.0
2023-01-02,3,1_8,57,8.0
2023-01-02,4,1_8,57,8.0
2023-01-02,0,1_9,61,13.0
2023-01-02,1,1_9,69,8.0
2023-01-02,2,1_9,64,11.0
2023-01-02,3,1_9,66,8.0
2023-01-02,4,1_9,67,9.0
2023-01-02,0,1_10,57,12.0
2023-01-02,1,1_10,56,7.0
2023-01-02,2,1_10,55,7.0
2023-01-02,3,1_10,56,12.0
2023-01-02,4,1_10,59,9.0
2023-01-02,0,1_11,62,10.0
2023-01-02,1,1_11,62,10.0
2023-01-02,2,1_11,56,9.0
2023-01-02,3,1_11,62,14.0
2023-01-02,4,1_11,55,9.0
2023-01-02,0,1_12,66,12.0
2023-01-02,1,1_12,62,7.0
2023-01-02,2,1_12,68,12.0
2023-01-02,3,1_12,63,12.0
2023-01-02,4,1_12,61,13.0
2023-01-02,0,1_13,66,10.0
2023-01-02,1,1_13,64,8.0
2023-01-02,2,1_13,57,9.0
2023-01-02,3,1_13,63,10.0
2023-01-02,4,1_13,63,11.0
2023-01-02,0,1_14,56,8.0
2023-01-02,1,1_14,58,13.0
2023-01-02,2,1_14,60,11.0
2023-01-02,3,1_14,62,12.0
2023-01-02,4,1_14,59,12.0
2023-01-02,0,1_15,67,12.0
2023-01-02,1,1_15,68,14.0
2023-01-02,2,1_15,64,9.0
2023-01-02,3,1_15,63,7.0
2023-01-02,4,1_15,63,11.0
2023-01-02,0,1_16,62,8.0
2023-01-02,1,1_16,61,14.0
2023-01-02,2,1_16,55,12.0
2023-01-02,3,1_16,57,14.0
2023-01-02,4,1_16,55,10.0
2023-01-02,0,1_17,55,11.0
2023-01-02,1,1_17,63,13.0
2023-01-02,2,1_17,63,9.0
2023-01-02,3,1_17,62,8.0
2023-01-02,4,1_17,60,9.0
2023-01-02,0,1_18,65,12.0
2023-01-02,1,1_18,62,8.0
2023-01-02,2,1_18,64,11.0
2023-01-02,3,1_18,62,13.0
2023-01-02,4,1_18,61,9.0
2023-01-02,0,1_19,54,13.0
2023-01-02,1,1_19,60,8.0
2023-01-02,2,1_19,53,10.0
2023-01-02,3,1_19,61,12.0
2023-01-02,4,1_19,57,11.0
2023-01-02,0,1_20,60,11.0
2023-01-02,1,1_20,62,12.0
2023-01-02,2,1_20,61,7.0
2023-01-02,3,1_20,68,11.0
2023-01-02,4,1_20,66,9.0
2023-01-02,1,2_1,33,8.0
2023-01-02,2,2_1,33,11.0
2023-01-02,3,2_1,36,8.0
2023-01-02,4,2_1,43,9.0
2023-01-02,1,2_2,40,12.0
2023-01-02,2,2_2,36,9.0
2023-01-02,3,2_2,38,11.0
2023-01-02,4,2_2,43,10.0
2023-01-02,1,2_3,35,11.0
2023-01-02,2,2_3,40,10.0
2023-01-02,3,2_3,40,12.0
2023-01-02,4,2_3,35,13.0
2023-01-02,1,2_4,38,9.0
2023-01-02,2,2_4,42,9.0
2023-01-02,3,2_4,39,14.0
2023-01-02,4,2_4,38,11.0
2023-01-02,1,2_5,42,9.0
2023-01-02,2,2_5,50,9.0
2023-01-02,3,2_5,45,10.0
2023-01-02,4,2_5,48,12.0
2023-01-02,1,2_6,43,13.0
2023-01-02,2,2_6,39,9.0
2023-01-02,3,2_6,46,11.0
2023-01-02,4,2_6,45,13.0
2023-01-02,1,2_7,34,9.0
2023-01-02,2,2_7,32,11.0
2023-01-02,3,2_7,35,10.0
2023-01-02,4,2_7,35,8.0
2023-01-02,1,2_8,43,10.0
2023-01-02,2,2_8,37,9.0
2023-01-02,3,2_8,40,12.0
2023-01-02,4,2_8,43,11.0
2023-01-02,1,2_9,36,13.0
2023-01-02,2,2_9,44,12.0
2023-01-02,3,2_9,43,7.0
2023-01-02,4,2_9,45,12.0
2023-01-02,1,2_10,41,13.0
2023-01-02,2,2_10,40,8.0
2023-01-02,3,2_10,41,8.0
2023-01-02,4,2_10,43,12.0
2023-01-02,1,2_11,42,13.0
2023-01-02,2,2_11,43,13.0
2023-01-02,3,2_11,47,14.0
2023-01-02,4,2_11,40,12.0
2023-01-02,1,2_12,49,10.0
2023-01-02,2,2_12,40,7.0
2023-01-02,3,2_12,45,8.0
2023-01-02,4,2_12,49,7.0
2023-01-02,1,2_13,39,13.0
2023-01-02,2,2_13,40,10.0
2023-01-02,3,2_13,42,13.0
2023-01-02,4,2_13,40,10.0
2023-01-02,1,2_14,40,9.0
2023-01-02,2,2_14,38,13.0
2023-01-02,3,2_14,33,14.0
2023-01-02,4,2_14,37,13.0
2023-01-02,1,2_15,34,9.0
2023-01-02,2,2_15,39,12.0
2023-01-02,3,2_15,32,13.0
2023-01-02,4,2_15,40,8.0
2023-01-02,1,2_16,32,8.0
2023-01-02,2,2_16,36,11.0
2023-01-02,3,2_16,32,11.0
2023-01-02,4,2_16,33,14.0
2023-01-02,1,2_17,43,10.0
2023-01-02,2,2_17,37,11.0
2023-01-02,3,2_17,44,14.0
2023-01-02,4,2_17,37,12.0
2023-01-02,1,2_18,49,8.0
2023-01-02,2,2_18,47,12.0
2023-01-02,3,2_18,44,10.0
2023-01-02,4,2_18,42,14.0
2023-01-02,1,2_19,41,12.0
2023-01-02,2,2_19,42,8.0
2023-01-02,3,2_19,44,14.0
2023-01-02,4,2_19,40,8.0
2023-01-02,1,2_20,37,13.0
2023-01-02,2,2_20,44,13.0
2023-01-02,3,2_20,41,10.0
2023-01-02,4,2_20,45,11.0
2023-01-02,0,3_1,54,8.0
2023-01-02,1,3_1,57,11.0
2023-01-02,2,3_1,60,14.0
2023-01-02,3,3_1,61,12.0
2023-01-02,4,3_1,55,14.0
2023-01-02,0,3_2,62,8.0
2023-01-02,1,3_2,62,8.0
2023-01-02,2,3_2,64,7.0
2023-01-02,3,3_2,60,10.0
2023-01-02,4,3_2,61,13.0
2023-01-02,0,3_3,65,13.0
2023-01-02,1,3_3,62,8.0
2023-01-02,2,3_3,62,14.0
2023-01-02,3,3_3,57,13.0
2023-01-02,4,3_3,59,8.0
2023-01-02,0,3_4,60,10.0
2023-01-02,1,3_4,54,10.0
2023-01-02,2,3_4,54,8.0
2023-01-02,3,3_4,56,12.0
2023-01-02,4,3_4,51,9.0
2023-01-02,0,3_5,58,12.0
2023-01-02,1,3_5,57,12.0
2023-01-02,2,3_5,59,7.0
2023-01-02,3,3_5,60,13.0
2023-01-02,4,3_5,56,9.0
2023-01-02,0,3_6,56,9.0
2023-01-02,1,3_6,65,11.0
2023-01-02,2,3_6,65,13.0
2023-01-02,3,3_6,64,8.0
2023-01-02,4,3_6,61,9.0
2023-01-02,0,3_7,65,12.0
2023-01-02,1,3_7,67,14.0
2023-01-02,2,3_7,65,12.0
2023-01-02,3,3_7,63,11.0
2023-01-02,4,3_7,59,9.0
2023-01-02,0,3_8,63,13.0
2023-01-02,1,3_8,63,12.0
2023-01-02,2,3_8,65,11.0
2023-01-02,3,3_8,60,9.0
2023-01-02,4,3_8,60,11.0
2023-01-02,0,3_9,56,9.0
2023-01-02,1,3_9,52,12.0
2023-01-02,2,3_9,54,13.0
2023-01-02,3,3_9,52,10.0
2023-01-02,4,3_9,61,10.0
2023-01-02,0,3_10,63,10.0
2023-01-02,1,3_10,63,13.0
2023-01-02,2,3_10,66,12.0
2023-01-02,3,3_10,57,10.0
2023-01-02,4,3_10,57,9.0
2023-01-02,0,3_11,59,8.0
2023-01-02,1,3_11,55,10.0
2023-01-02,2,3_11,57,10.0
2023-01-02,3,3_11,61,9.0
2023-01-02,4,3_11,63,8.0
2023-01-02,0,3_12,56,8.0
2023-01-02,1,3_12,54,10.0
2023-01-02,2,3_12,63,11.0
2023-01-02,3,3_12,53,13.0
2023-01-02,4,3_12,58,8.0
2023-01-02,0,3_13,65,8.0
2023-01-02,1,3_13,63,12.0
2023-01-02,2,3_13,59,14.0
2023-01-02,3,3_13,69,9.0
2023-01-02,4,3_13,64,7.0
2023-01-02,0,3_14,59,8.0
2023-01-02,1,3_14,66,14.0
2023-01-02,2,3_14,64,12.0
2023-01-02,3,3_14,57,12.0
2023-01-02,4,3_14,63,10.0
2023-01-02,0,3_15,55,12.0
2023-01-02,1,3_15,55,11.0
2023-01-02,2,3_15,61,11.0
2023-01-02,3,3_15,63,12.0
2023-01-02,4,3_15,65,8.0
2023-01-02,0,3_16,55,10.0
2023-01-02,1,3_16,58,9.0
2023-01-02,2,3_16,54,10.0
2023-01-02,3,3_16,60,8.0
2023-01-02,4,3_16,55,9.0
2023-01-02,0,3_17,63,13.0
2023-01-02,1,3_17,64,12.0
2023-01-02,2,3_17,65,13.0
2023-01-02,3,3_17,60,10.0
2023-01-02,4,3_17,62,13.0
2023-01-02,0,3_18,58,7.0
2023-01-02,1,3_18,56,10.0
2023-01-02,2,3_18,55,11.0
2023-01-02,3,3_18,54,9.0
2023-01-02,4,3_18,55,11.0
2023-01-02,0,3_19,56,10.0
2023-01-02,1,3_19,57,8.0
2023-01-02,2,3_19,58,13.0
2023-01-02,3,3_19,62,12.0
2023-01-02,4,3_19,58,10.0
2023-01-02,0,3_20,57,11.0
2023-01-02,1,3_20,60,14.0
2023-01-02,2,3_20,63,13.0
2023-01-02,3,3_20,55,13.0
2023-01-02,4,3_20,55,13.0
2023-01-02,1,4_1,34,11.0
2023-01-02,2,4_1,32,13.0
2023-01-02,3,4_1,35,9.0
2023-01-02,4,4_1,34,8.0
2023-01-02,1,4_2,37,10.0
2023-01-02,2,4_2,44,9.0
2023-01-02,3,4_2,41,10.0
2023-01-02,4,4_2,44,9.0
2023-01-02,1,4_3,40,11.0
2023-01-02,2,4_3,41,8.0
2023-01-02,3,4_3,45,12.0
2023-01-02,4,4_3,48,9.0
2023-01-02,1,4_4,37,10.0
2023-01-02,2,4_4,36,7.0
2023-01-02,3,4_4,41,8.0
2023-01-02,4,4_4,42,9.0
2023-01-02,1,4_5,33,10.0
2023-01-02,2,4_5,35,10.0
2023-01-02,3,4_5,37,13.0
2023-01-02,4,4_5,42,10.0
2023-01-02,1,4_6,41,10.0
2023-01-02,2,4_6,37,11.0
2023-01-02,3,4_6,42,12.0
2023-01-02,4,4_6,39,13.0
2023-01-02,1,4_7,31,9.0
2023-01-02,2,4_7,36,9.0
2023-01-02,3,4_7,40,12.0
2023-01-02,4,4_7,31,11.0
2023-01-02,1,4_8,33,12.0
2023-01-02,2,4_8,41,12.0
2023-01-02,3,4_8,37,11.0
2023-01-02,4,4_8,41,11.0
2023-01-02,1,4_9,41,14.0
2023-01-02,2,4_9,36,13.0
2023-01-02,3,4_9,43,7.0
2023-01-02,4,4_9,46,10.0
2023-01-02,1,4_10,43,9.0
2023-01-02,2,4_10,39,12.0
2023-01-02,3,4_10,47,13.0
2023-01-02,4,4_10,48,8.0
2023-01-02,1,4_11,42,7.0
2023-01-02,2,4_11,47,9.0
2023-01-02,3,4_11,38,11.0
2023-01-02,4,4_11,47,9.0
2023-01-02,1,4_12,39,11.0
2023-01-02,2,4_12,40,13.0
2023-01-02,3,4_12,38,13.0
2023-01-02,4,4_12,47,11.0
2023-01-02,1,4_13,31,9.0
2023-01-02,2,4_13,37,12.0
2023-01-02,3,4_13,35,12.0
2023-01-02,4,4_13,34,13.0
2023-01-02,1,4_14,45,12.0
2023-01-02,2,4_14,41,12.0
2023-01-02,3,4_14,38,9.0
2023-01-02,4,4_14,41,13.0
2023-01-02,1,4_15,37,12.0
2023-01-02,2,4_15,32,9.0
2023-01-02,3,4_15,37,13.0
2023-01-02,4,4_15,36,12.0
2023-01-02,1,4_16,47,9.0
2023-01-02,2,4_16,40,8.0
2023-01-02,3,4_16,40,8.0
2023-01-02,4,4_16,43,13.0
2023-01-02,1,4_17,37,10.0
2023-01-02,2,4_17,40,10.0
2023-01-02,3,4_17,33,13.0
2023-01-02,4,4_17,36,7.0
2023-01-02,1,4_18,44,13.0
2023-01-02,2,4_18,39,13.0
