seller_id,product_id,product_name,category_id,week,cost,price
0,1_1,Product_1_1,1,2023-01-02,3691,8343
1,1_1,Product_1_1,1,2023-01-02,3691,8919
2,1_1,Product_1_1,1,2023-01-02,3691,9545
3,1_1,Product_1_1,1,2023-01-02,3691,9803
4,1_1,Product_1_1,1,2023-01-02,3691,10275
0,1_1,Product_1_1,1,2023-01-09,3691,8343
1,1_1,Product_1_1,1,2023-01-09,3691,8801
2,1_1,Product_1_1,1,2023-01-09,3691,8536
3,1_1,Product_1_1,1,2023-01-09,3691,9790
4,1_1,Product_1_1,1,2023-01-09,3691,10138
0,1_1,Product_1_1,1,2023-01-16,3691,8343
1,1_1,Product_1_1,1,2023-01-16,3691,8840
2,1_1,Product_1_1,1,2023-01-16,3691,8827
3,1_1,Product_1_1,1,2023-01-16,3691,9596
4,1_1,Product_1_1,1,2023-01-16,3691,10330
0,1_1,Product_1_1,1,2023-01-23,3691,8343
1,1_1,Product_1_1,1,2023-01-23,3691,9017
2,1_1,Product_1_1,1,2023-01-23,3691,9224
3,1_1,Product_1_1,1,2023-01-23,3691,9668
4,1_1,Product_1_1,1,2023-01-23,3691,10324
0,1_1,Product_1_1,1,2023-01-30,3691,8343
1,1_1,Product_1_1,1,2023-01-30,3691,9102
2,1_1,Product_1_1,1,2023-01-30,3691,9526
3,1_1,Product_1_1,1,2023-01-30,3691,9744
4,1_1,Product_1_1,1,2023-01-30,3691,10288
0,1_1,Product_1_1,1,2023-02-06,3691,8343
1,1_1,Product_1_1,1,2023-02-06,3691,9147
2,1_1,Product_1_1,1,2023-02-06,3691,8924
3,1_1,Product_1_1,1,2023-02-06,3691,9611
4,1_1,Product_1_1,1,2023-02-06,3691,10177
0,1_1,Product_1_1,1,2023-02-13,3691,8343
1,1_1,Product_1_1,1,2023-02-13,3691,8817
2,1_1,Product_1_1,1,2023-02-13,3691,8803
3,1_1,Product_1_1,1,2023-02-13,3691,9914
4,1_1,Product_1_1,1,2023-02-13,3691,10344
0,1_1,Product_1_1,1,2023-02-20,3691,8343
1,1_1,Product_1_1,1,2023-02-20,3691,8816
2,1_1,Product_1_1,1,2023-02-20,3691,8710
3,1_1,Product_1_1,1,2023-02-20,3691,9756
4,1_1,Product_1_1,1,2023-02-20,3691,10192
0,1_1,Product_1_1,1,2023-02-27,3691,8343
1,1_1,Product_1_1,1,2023-02-27,3691,9167
2,1_1,Product_1_1,1,2023-02-27,3691,9454
3,1_1,Product_1_1,1,2023-02-27,3691,9725
4,1_1,Product_1_1,1,2023-02-27,3691,10202
0,1_1,Product_1_1,1,2023-03-06,3691,8343
1,1_1,Product_1_1,1,2023-03-06,3691,8950
2,1_1,Product_1_1,1,2023-03-06,3691,9252
3,1_1,Product_1_1,1,2023-03-06,3691,9811
4,1_1,Product_1_1,1,2023-03-06,3691,10212
0,1_1,Product_1_1,1,2023-03-13,3691,8343
1,1_1,Product_1_1,1,2023-03-13,3691,9103
2,1_1,Product_1_1,1,2023-03-13,3691,8591
3,1_1,Product_1_1,1,2023-03-13,3691,9666
4,1_1,Product_1_1,1,2023-03-13,3691,10363
0,1_1,Product_1_1,1,2023-03-20,3691,8343
1,1_1,Product_1_1,1,2023-03-20,3691,9089
2,1_1,Product_1_1,1,2023-03-20,3691,9055
3,1_1,Product_1_1,1,2023-03-20,3691,9980
4,1_1,Product_1_1,1,2023-03-20,3691,10017
0,1_1,Product_1_1,1,2023-03-27,3691,8343
1,1_1,Product_1_1,1,2023-03-27,3691,8975
